任务标题,阶段,预计工时,优先级,是否完成
PRD 与技术文档定稿,一期,12h,P0,未完成
MVP 后台菜单结构与权限链定稿,一期,8h,P0,未完成
锁定首期腾讯接口清单与对应 API_VERSION,一期,16h,P0,未完成
基于官方 SDK 自动盘点接口目录并与官网接口页对齐,一期,12h,P1,未完成
输出一期表设计文档,一期,6h,P0,已完成
建立一期数据库迁移文件,一期,16h,P0,已完成
完成基础模型定义,一期,20h,P0,已完成
新租户自动生成主项目,一期,6h,P0,已完成
平台租户管理能力,一期,20h,P0,已完成
平台应用管理能力,一期,20h,P0,未完成
平台应用分配给租户,一期,12h,P0,未完成
平台全局排查能力,一期,12h,P1,未完成
平台与租户共用一套 user 登录链,一期,12h,P0,已完成
登录入口统一为 /login，移除旧 /tenant/login 入口,一期,6h,P0,已完成
统一租户作用域（tenant_id）,一期,12h,P0,已完成
租户登录字段改为统一 username + password,一期,6h,P0,已完成
当前项目上下文切换,一期,12h,P0,已完成
项目上下文基础权限校验,一期,16h,P0,已完成
团队人员管理页,一期,16h,P0,已完成
员工新增、编辑、角色配置（租户管理员 / 优化师）,一期,20h,P0,已完成
员工加入项目,一期,12h,P0,已完成
团队项目管理页,一期,16h,P0,已完成
项目新增、编辑,一期,12h,P0,已完成
项目成员配置,一期,12h,P0,已完成
使用平台分配应用在广告主账号中直接发起授权,一期,28h,P0,未完成
建立隐藏的 OAuth 授权来源记录,一期,16h,P0,未完成
拉取广告主账号并归属项目,一期,20h,P0,未完成
广告主账号授权给员工,一期,16h,P0,未完成
user_token_session 与员工扫码获取 userToken 流程,一期,24h,P0,未完成
userToken 入库与 15 天有效期管理,一期,16h,P0,未完成
任务执行身份记录,一期,12h,P0,未完成
锁定首期拉取接口清单（含版本号与请求字段）,一期,12h,P0,未完成
拉取广告列表（adgroups/get，含审核状态）,一期,20h,P0,未完成
拉取创意列表（dynamic_creatives/get，含审核状态）,一期,24h,P0,未完成
拉取创意组件列表（components/get）,一期,18h,P0,未完成
拉取创意组件详情（component_detail/get）,一期,16h,P0,未完成
项目维度审核状态筛选（未通过 / 待审核 / 已通过）,一期,12h,P0,未完成
审核原因与拒审信息展示,一期,8h,P0,未完成
拉取链路限流与重试,一期,12h,P1,未完成
梳理 广告 -> 创意 -> 创意组件 关系与可编辑字段白名单,一期,20h,P0,未完成
锁定首期编辑/复审接口清单（含版本号与可编辑字段约束）,一期,16h,P0,未完成
未通过广告编辑能力（adgroups/update）,一期,20h,P0,未完成
未通过创意编辑能力（dynamic_creatives/update）,一期,36h,P0,未完成
评估组件编辑是否经由 dynamic_creatives/update 间接完成,一期,16h,P0,未完成
接入 dynamic_creative_review_results/get,一期,12h,P0,未完成
接入 component_review_results/get,一期,12h,P0,未完成
接入 element_appeal_review/add 与 element_appeal_review/get,一期,20h,P0,未完成
接入 component_element_urge_review/add 与 component_element_urge_review/get,一期,12h,P0,未完成
复审结果回查与状态同步,一期,20h,P0,未完成
编辑前后快照与操作审计,一期,12h,P1,未完成
幂等提交与防重复提交,一期,12h,P1,未完成
接入 hyperf/crontab 做定时状态同步,一期,12h,P1,未完成
同步任务运行日志,一期,12h,P1,未完成
租户日志隔离（登录日志 / 操作日志）,一期,8h,P1,部分完成
基础异常告警,一期,8h,P1,未完成
能创建租户,一期,1h,P0,已完成
能创建平台应用,一期,1h,P0,未完成
能给租户分配应用,一期,1h,P0,未完成
能创建员工,一期,1h,P0,已完成
能创建项目,一期,1h,P0,已完成
租户能使用已分配应用在 广告主账号 中直接发起授权,一期,1h,P0,未完成
能拉取并选择广告主账号,一期,1h,P0,未完成
能给员工配置项目,一期,1h,P0,已完成
能给员工授权广告主账号,一期,1h,P0,未完成
能完成扫码获取 userToken,一期,1h,P0,未完成
能拉取广告列表并看到审核状态,一期,1h,P0,未完成
能拉取创意列表并看到审核状态,一期,1h,P0,未完成
能拉取创意组件列表并看到审核状态,一期,1h,P0,未完成
能拉取创意组件详情,一期,1h,P0,未完成
能筛选未通过项并看到拒审原因,一期,1h,P0,未完成
能编辑未通过广告并更新自身配置,一期,1h,P0,未完成
能编辑未通过创意并提交复审处理,一期,1h,P0,未完成
能发起元素申诉复审,一期,1h,P0,未完成
能发起组件或元素催审,一期,1h,P0,未完成
能回查创意与组件审核结果并同步页面状态,一期,1h,P0,未完成
操作日志可追踪编辑前后差异,一期,1h,P1,未完成
建立统一 async_task 任务主表,二期,24h,P1,未完成
建立 async_task_item 与 async_task_log,二期,16h,P1,未完成
接入 hyperf/async-queue,二期,16h,P1,未完成
批量建广告任务接入队列执行,二期,56h,P1,未完成
子任务拆分与状态流转,二期,24h,P1,未完成
失败重试机制,二期,16h,P1,未完成
超时巡检与补偿重试,二期,20h,P1,未完成
所有导出任务统一接入任务中心,二期,16h,P1,未完成
统一 HTTP 异常响应结构（业务异常 / 鉴权异常 / 验证异常 / 基础设施异常）,公共,16h,P1,部分完成
基础设施异常分类与清晰提示（MySQL / Redis / 队列等）,公共,12h,P1,未完成
异常日志补齐 request_id、请求路径、请求方法等关键信息,公共,8h,P1,部分完成
控制台输出改为异常摘要，完整堆栈保留到日志文件,公共,8h,P2,未完成
同一次请求的包装异常按根因归并，避免重复刷屏,公共,12h,P2,未完成
